image_name,image_url,article_title,context,caption,no_crt_no_cnxt,no_crt_yes_cnxt,yes_crt_no_cnxt,yes_crt_yes_cnxt
Mula_Ko_Aachar_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Mula_Ko_Aachar_2.jpg/220px-Mula_Ko_Aachar_2.jpg,South_Asian_pickle,"Broth made from achar used for jhol momo In Nepal, achaar (Nepali: अचार) is commonly eaten with the staple dal-bhat-tarkari as well as momo.[26] Many achaar factories in Nepal are women-owned or operated by women.[27][28] Nepalese achaar is made with spices such as mustard seeds, timur (Sichuan pepper), cumin powder, coriander powder, turmeric powder, and chili powder. Some of the popular varieties of achar eaten in Nepal are:",Mula Ko Aachar,"Alt-text: A view inside a container with pickled vegetables. The vegetables are covered in a mixture of spices and seeds, including mustard seeds. The pickles appear to be sliced lengthwise and include different kinds of vegetables. The container shows remnants of the pickling spices along the sides.","A close-up view of Nepali achar, showcasing a mixture of pickled vegetables with visible spices, such as mustard seeds and chili powder, coating the ingredients. The achar appears to be a colorful and textured blend, commonly used in Nepalese cuisine.","Close-up of pickled Indian starfruit slices mixed with spices in a container, showing a mix of golden-brown seasoning and a red chili.","A mixture of sliced vegetables and spices in a container, illustrating a type of Nepalese achar."
Extinction_rebellion_Climbing_division.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Extinction_rebellion_Climbing_division.jpg/220px-Extinction_rebellion_Climbing_division.jpg,Extinction_Rebellion,"A report called ""Extremism Rebellion"" by Policy Exchange, a UK-based conservative think tank, said that Extinction Rebellion is an extremist organisation seeking the breakdown of liberal democracy and the rule of law,[121] and called for the criminalisation of the group; the Police, Crime, Sentencing and Courts Act 2022 was based on the 2019 report by Policy Exchange, which received in 2017 a $30,000 donation by US-based oil and gas corporation ExxonMobil,[122][123] to target Extinction Rebellion.[124]",Member of the Extinction Rebellion Climbing Division high up on a pole to make arrest by the police more difficult,"A crowd of people gathered outdoors in an urban setting, many holding flags with bold red and orange colors. Modern buildings and cloudy skies are visible in the background. The atmosphere suggests a public demonstration or protest.","A crowd of people gathered during a protest in an urban setting. Some individuals are holding flags, including one prominently displaying the Extinction Rebellion symbol. Modern buildings are visible in the background, indicating a city environment. The sky is overcast, contributing to a somber atmosphere.","A group of people in an urban area hold flags, including a red one and an orange one with a black symbol. Modern buildings and a cloudy sky are in the background.","A crowd of protesters with flags, including an orange one with an hourglass symbol, gather between modern buildings under a cloudy sky."
1991_Grantland_Rice_Trophy.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/1991_Grantland_Rice_Trophy.jpg/220px-1991_Grantland_Rice_Trophy.jpg,1991_NCAA_Division_I-A_football_rankings,"The Football Writers Association of America awarded the Grantland Rice Trophy to Washington based on the post-bowl voting of a 5-member committee.[35] The Huskies received 3 first-place votes while the Hurricanes got two.[35] The voting members of the FWAA committee were Bob Hammel of the Bloomington Herald-Times, Bil Lumpkin of the Birmingham Post-Herald, Bill McGrotha of the Tallahassee Democrat, Volney Meece of the Daily Oklahoman, and Thomas O'Toole of the Scripps Howard News Service.[35]",1991 FWAA Grantland Rice National Championship Trophy on display inside Husky Stadium,"A trophy encased in glass, featuring a golden football on top of a wooden base with a plaque. The background has a purple poster with part of a football player's face and part of the word ""PURPLE"" visible.","Alt-text: A gold-plated trophy, the Grantland Rice Trophy, displayed in a glass case. The background shows a vibrant image of a football player wearing a helmet and uniform with the word ""Huskies"" partially visible.","A trophy encased in glass with engraved text, ""The American Football Coaches Association National Championship Trophy."" In the background, a mural features a football player and partial letters.","A shiny trophy in a glass case, with a plaque that reads ""The Grantland Rice Trophy."" A poster of an American football player is partially visible in the background."
Pan_American_Games_host_countries_map.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Pan_American_Games_host_countries_map.png/220px-Pan_American_Games_host_countries_map.png,Pan_American_Games,"The Pan American Games have been hosted by 17 cities in 11 countries. Mexico and Canada have hosted three Pan American Games each, more than any other nation. Among cities, only Winnipeg and Mexico City have played host to the Pan American Games more than once, each hosting twice.","Map of Pan American Games locations (host cities in red dots). Countries that have hosted one Pan Am Games are shaded green, while countries that have hosted two or more are shaded blue.","Map of the Americas with countries shaded in different colors. Canada and most of the United States, along with some Caribbean nations, are highlighted in blue. A few Central American and other Caribbean countries are marked in light green, while several South American countries are shaded in dark green. Year annotations, from 2013 to 2020, are placed on various countries, possibly indicating a timeline of events or data. Gray represents areas not highlighted in the given context.","Map of the Americas highlighting countries that have hosted the Pan American Games. Countries in blue and green indicate past hosts, with specific cities and years labeled in red text.","Map of the Americas showing countries in blue, green, and gray, with years labeled in red across various locations, indicating different events or milestones.","Map of North and South America with countries shaded in blue and green, indicating previous host nations of the Pan American Games. Cities with host years are marked in red."
(Venice)_Doge_Giovanni_Mocenigo_by_Gentile_Bellini_-_Correr_Museum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/%28Venice%29_Doge_Giovanni_Mocenigo_by_Gentile_Bellini_-_Correr_Museum.jpg/220px-%28Venice%29_Doge_Giovanni_Mocenigo_by_Gentile_Bellini_-_Correr_Museum.jpg,Gentile_Bellini,"Procession of the True Cross in Piazza San Marco, 1496; tempera & oil on canvas; Accademia, Venice Gentile's earliest signed work is The Blessed Lorenzo Giustinian (1445), one of the oldest surviving oil paintings in Venice (now at the Accademia Museum). During the 1450s Bellini worked on a commission for the Scuola Grande di San Marco and painted in conjunction with his brother, Giovanni Bellini. From 1454 he was also the official portrait artist for the Doges of Venice,[3] (for example, see image of the Doge Giovanni Mocenigo at right).","Doge Giovanni Mocenigo, c. 1478; Tempera on panel; Museo Correr, Venice","A painting of an older man in profile, facing left. He is wearing an ornate, embroidered headdress and a matching robe with white fabric and gold designs. The background is a plain, neutral tone, emphasizing the detailed textures of the clothing and headgear.","Portrait of a Venetian Doge in profile, wearing an ornate, gilded robe and a distinctive ducal hat, set against a textured background.","A classical portrait painting shows an elderly man in profile wearing ornate robes and a tall, embellished hat against a plain background.","A detailed portrait of a man wearing a gold ceremonial hat and robe, in profile, against a plain background."
2024_Proclamation_of_King_Frederik_of_Denmark.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/2024_Proclamation_of_King_Frederik_of_Denmark.jpg/220px-2024_Proclamation_of_King_Frederik_of_Denmark.jpg,Frederik_X,"Queen Margrethe II announced her abdication during her annual live broadcast New Year's Eve address on 31 December 2023. Frederik succeeded her as King of Denmark on 14 January 2024, after Margrethe formally signed an instrument of abdication during a meeting of the Council of State.[22]",The proclamation of King Frederik X from the balcony of Christiansborg Palace on 14 January 2024,"A large crowd gathers in front of an ornate historic building, likely a government or landmark structure, under a cloudy sky. Many people are holding and waving small Danish flags, creating a sea of red and white. The atmosphere appears to be festive or patriotic.","A large crowd gathered outside a historic building, holding Danish flags. The sky is overcast, and the atmosphere appears celebratory.","A large crowd waving red and white Danish flags in front of an old, ornate building under a cloudy sky.","A crowd gathers outside a historic building, waving Danish flags under a cloudy sky."
Taylor_Swift_The_Eras_Tour_Lover_Set_(53109587454)_(cropped2).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Taylor_Swift_The_Eras_Tour_Lover_Set_%2853109587454%29_%28cropped2%29.jpg/170px-Taylor_Swift_The_Eras_Tour_Lover_Set_%2853109587454%29_%28cropped2%29.jpg,You_Need_to_Calm_Down,"Swift performed the song live for the first time at the Amazon Prime Day Concert on July 10, 2019.[88] On August 22, she performed the song at a Good Morning America concert in Central Park.[89] The next day, she performed an acoustic rendition of the song at a SiriusXM Town Hall.[90] She also performed it at the 2019 MTV Video Music Awards along with ""Lover""[91] and included the song in her setlist for BBC Radio 1's Live Lounge on September 2.[92] On September 9, Swift performed the song at the City of Lover one-off concert in Paris, France;[93] this concert live version was released to digital music and music streaming platforms on May 17, 2020.[94] While promoting Lover, Swift performed the song at the We Can Survive charity concert in Los Angeles on October 19,[95] at the Alibaba Singles' Day Gala in Shanghai, China on November 10,[96] at Capital FM's Jingle Bell Ball 2019 in London on December 8,[97] and at iHeartRadio Z100's Jingle Ball in New York City on December 13.[98] Swift included ""You Need to Calm Down"" on the set list of her sixth headlining concert tour, the Eras Tour (2023–2024) with the first verse being omitted.[99]","Swift performing ""You Need to Calm Down"" on the Eras Tour in Inglewood, 2023","A performer sings into a microphone on stage, wearing a sparkling, silver outfit with matching knee-high boots. They are pointing outward, and the background features vibrant, colorful lighting.",A performer on stage sings into a microphone while pointing into the crowd. They are wearing a sparkling outfit with matching boots. The stage is lit with colorful lights in the background.,"A performer on stage wearing a sparkling outfit and boots holds a microphone while pointing into the crowd, with a vibrant screen in the background.","A performer on stage in a sparkling outfit, singing and pointing with a microphone in hand."
"Obelisk_Farm,_Boughton,_Northamptonshire_01.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Obelisk_Farm%2C_Boughton%2C_Northamptonshire_01.jpg/220px-Obelisk_Farm%2C_Boughton%2C_Northamptonshire_01.jpg,"Boughton,_Northamptonshire","In the centre of Boughton stands the chapel of St John the Baptist which now serves as the parish church. The tower, dating from the 15th century, is the oldest surviving structural element of the chapel and the village core.[3] The church was extended and restored during the 19th century.[3][7] The church has a monument to Mary Tillemont (d.1706).",Obelisk Farm dates back to the 17th century,"A two-story stone cottage with a dark roof, surrounded by a low stone wall and neatly trimmed hedges. It has symmetrical windows and a central wooden door with a gabled porch. The house is set against a clear sky.","Alt-text: A historic stone building in Boughton, Northamptonshire, with a symmetrical façade and a pitched roof. The front entrance has a wooden door with a small triangular awning. A low stone wall borders the property, with trimmed hedges and a few small trees in front. The sky above is clear.","A two-story, stone-built house with a pitched roof and central wooden door, surrounded by a low stone wall and shrubs, under a clear sky.","A two-story stone house with a steeply pitched roof, situated behind a low stone wall, on a quiet street in Boughton, Northamptonshire."
The_Man_Who_Laughs_-_Conrad_Veidt_as_Gwynplaine.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/The_Man_Who_Laughs_-_Conrad_Veidt_as_Gwynplaine.jpg/175px-The_Man_Who_Laughs_-_Conrad_Veidt_as_Gwynplaine.jpg,The_Man_Who_Laughs_(1928_film),"Following the success of Universal Pictures's 1923 adaptation of Victor Hugo's The Hunchback of Notre-Dame, the company was eager to release another film starring Lon Chaney. A treatment adapting The Phantom of the Opera was prepared, but rejected by the Universal executives. In its place, Chaney was offered the lead in a film version of Hugo's The Man Who Laughs, to be produced under its French title (L'Homme Qui Rit) out of perceived similarity to Les Misérables.[4] The Man Who Laughs, published in 1869, had been subject to significant criticism in both England and France, and was one of Hugo's least successful novels,[5] but it had been filmed twice before. Pathé had produced L'Homme qui rit in France in 1908, and the Austrian film company Olympic-Film released a low-budget German version in 1921 as Das grinsende Gesicht.[6]",Conrad Veidt as Gwynplaine.,"A black and white image of a person with a distinct, wide grin revealing their teeth. The person has dark, dramatic makeup around the eyes and slicked-back hair. They are wearing a dark-colored coat, and the expression appears exaggerated and theatrical.","A black and white photo of a man with exaggerated facial makeup creating a wide, eerie smile. He has slicked-back hair and is wearing a dark coat, giving him a sinister appearance. The image is from the 1928 film ""The Man Who Laughs.""","A black and white photograph of a person with slicked-back hair and a wide, exaggerated smile, wearing theatrical makeup and a dark coat.","A black-and-white photograph of a man with theatrical makeup, including dark eye circles and an exaggerated grin, in a dramatic pose."
(MHNT)_Brahmaea_europaea_-_dorsal.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/%28MHNT%29_Brahmaea_europaea_-_dorsal.jpg/220px-%28MHNT%29_Brahmaea_europaea_-_dorsal.jpg,Fauna_of_Italy,"The Italian fauna includes 56,213 species of invertebrates, of which 37,303 species of insects.[22] Commonly seen insects in Italy are the sail swallowtail, the scarlet dragonfly, Cleopatra butterfly, European praying mantis, cicada, glow-worm, hummingbird hawk-moth, Italian stinkbug, firebug, field cricket, European hornet, cuckoo wasp, carpenter bee, and the rose chafer.","European owl moth, endemic to Southern Italy","A moth with intricately patterned wings is displayed against a black background. The wings feature a combination of earthy tones with unique wavy and circular patterns. The moth's body is thick and textured, while its antennae are curved and prominent.","Alt-text: An intricately patterned moth with spread wings, displaying various shades of brown and beige on a black background.","Close-up photo of a moth with intricate brown and cream patterns on its wings, displayed against a black background.","A detailed photograph of a moth with intricate wing patterns, displayed against a black background."
