image_name,image_url,article_title,context,caption,no_crt_no_cnxt,no_crt_yes_cnxt,yes_crt_no_cnxt,yes_crt_yes_cnxt
"Buffalo_Sabres_at_Seattle_Kraken_-_October_25,_2022_-_Martin_Jones,_Vince_Dunn_and_John-Jason_Peterka_(52458400611).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Buffalo_Sabres_at_Seattle_Kraken_-_October_25%2C_2022_-_Martin_Jones%2C_Vince_Dunn_and_John-Jason_Peterka_%2852458400611%29.jpg/220px-Buffalo_Sabres_at_Seattle_Kraken_-_October_25%2C_2022_-_Martin_Jones%2C_Vince_Dunn_and_John-Jason_Peterka_%2852458400611%29.jpg,JJ_Peterka," Peterka's first career NHL goal came in the Sabres' 2022–23 season opener at home against the Ottawa Senators. His goal tied the game at 1–1 en route to a Buffalo 4–1 victory on October 13, 2022.[6]
",Peterka (left) in a game against the Seattle Kraken in 2022.,"Alt-text: Two hockey players are engaged in a play on the ice rink. One player, wearing a blue and yellow jersey, is positioned to the left, while another player in a black jersey is in the center, facing off against a goalie in a black uniform. The background shows the rink and spectators.","Alt-text: ""A hockey game scene featuring players from the Buffalo Sabres and the Seattle Kraken. One player in a blue and gold Sabres jersey is skating with the puck, while another player in a black Kraken jersey is positioned defensively. The background shows the rink and spectators.""","A hockey game scene featuring two players in blue and yellow jerseys and one in black. The player in black is positioned defensively near the goal, while the other two players are engaged in play.","A hockey game scene featuring players in blue and gold jerseys and black jerseys. One player is attempting to score while another defends, with a goalie in the background."
Ademola_Lookman_(2019)_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Ademola_Lookman_%282019%29_%28cropped%29.jpg/220px-Ademola_Lookman_%282019%29_%28cropped%29.jpg,African_Footballer_of_the_Year," The African Footballer of the Year award, presented to the best African footballer each year, has been conferred by the Confederation of African Football (CAF) since 1992.
","Ademola Lookman is the latest winner, receiving the award in 2024","A young male soccer player is walking on a grassy field, wearing a red long-sleeve jersey with a logo on the chest and the number 17 on the sleeve. He has a focused expression and is slightly smiling, suggesting he is in a training or warm-up session.","Alt-text: A football player wearing a red training jersey with the logo of RB Leipzig walks on a grassy field, smiling slightly. The player has short hair and is in motion, suggesting an active training session.",A football player wearing a red training shirt with the logo of RB Leipzig walks on a green field. He has a focused expression and is in motion.,"A football player wearing a red jersey with a logo walks on a grassy field. The player appears to be in motion, smiling slightly."
Andrianampoinimerina_HQ.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Andrianampoinimerina_HQ.jpg/220px-Andrianampoinimerina_HQ.jpg,History_of_the_Jews_in_Madagascar," The theory that Malagasy people can trace their ancestry to ancient Jews—termed the ""Jewish thesis""—is asserted in the earliest writings on the question of Malagasy origins, and by the late 19th and early 20th centuries had become a ""conviction"" of the many European chroniclers of the island.[8] Common substantiations for the thesis included observations of ""linguistic similarities [between Hebrew and Malagasy]; common physiognomic traits; alimentary and hygiene taboos; some sort of monotheism [with the Malagasy naming Zanahary as their one, un-picturable God];[18] observance of a lunar calendar; and life-cycle events resembling those in the Jewish tradition, circumcision in particular"".[19][8] A similar ""Arab thesis"" was also prevalent, though less persistent and popular than its Jewish counterpart.[6]
","It has been claimed by Prince Ndriana Rabarioelina, a member of the Merina royal family, that the red, white, and black royal lamba (pictured above on King Andrianampoinimerina) shares roots with similar Levite robes described in the Midrash.[17]","A historical painting depicting a male figure standing on a rocky surface, holding a spear in one hand and a piece of fabric in the other. He is dressed in a white garment with red and black stripes, and he has long hair adorned with beads. In the background, there are two small structures resembling huts and a mountainous landscape. The sky is partly cloudy.","Alt-text: A historical painting depicting a Malagasy man standing on a rocky landscape, holding a spear in one hand and a piece of fabric draped over his other arm. He is dressed in traditional attire, featuring a white garment with red and black stripes. In the background, there are two huts and a mountainous landscape under a blue sky.","A painting of a man standing on a rocky surface, holding a spear in one hand and a piece of fabric in the other. He is dressed in a white garment with red and black stripes, with a mountainous landscape and two huts in the background.","A painting depicting a Malagasy man holding a spear, dressed in traditional attire with a white garment and a patterned sash. In the background, there are structures resembling huts and a mountainous landscape."
StadtbahnD.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/StadtbahnD.png/220px-StadtbahnD.png,Düsseldorf," The city is a major hub in the Deutsche Bahn (DB) railway network. More than 1,000 trains stop in Düsseldorf daily. Düsseldorf Central Station at Konrad-Adenauer-Platz is located in Düsseldorf-Stadtmitte. Several Rhein-Ruhr S-Bahn lines connect Düsseldorf to other cities of Rhine-Ruhr. Local Düsseldorf Straßenbahn and light rail Düsseldorf Stadtbahn traffic, as well as local bus traffic, is carried out by the city-owned Rheinbahn which operates within the VRR public transport system. The light rail system also serves neighbouring cities and is partially operated underground. The Central Station and the Airport Station (Flughafen-Bahnhof) are connected to the national and European high-speed systems (Intercity/Eurocity, IC/EC and InterCityExpress).
","Düsseldorf Straßenbahn and Düsseldorf Stadtbahn network, part of the Verkehrsverbund Rhein-Ruhr","A detailed map of a city, featuring various public transportation routes. The map includes lines in red and blue, indicating different transit systems, with labels for stations and key landmarks. The surrounding areas are depicted in light green, showing parks and natural features. A legend in the upper right corner explains the color coding and symbols used on the map.","Alt-text: A detailed map of Düsseldorf showing the city's railway network, including the Deutsche Bahn (DB) railway lines, S-Bahn connections, and local transportation routes such as Straßenbahn and Stadtbahn. The map highlights key stations, including Düsseldorf Central Station and the Airport Station, along with surrounding areas and transport links to neighboring cities.","A detailed map of a city showing public transportation routes, including tram and bus lines in red and blue. Key locations and transit stops are marked, with a legend indicating different lines and services.","Map showing the public transport network in Düsseldorf, including S-Bahn, Straßenbahn, and light rail lines. Key routes and connections to surrounding areas are highlighted, with a legend indicating different transport types."
"Buildings_facing_River_Street,_Savannah,_Georgia.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Buildings_facing_River_Street%2C_Savannah%2C_Georgia.jpg/220px-Buildings_facing_River_Street%2C_Savannah%2C_Georgia.jpg,Savannah_Cotton_Exchange," The exchange moved to 100 East Bay Street location, in 1887,[4][5] where the building still stands, with the former warehouses down below on River Street now replaced by a tunnel through to Factors Walk. The city allowed the exchange to build on top of Drayton Street ramp, as long as they left the ramp accessible below, hence its unique design.[6] As the Savannah Morning News reported it, the day after its official opening: ""The building is built in the center of a slip leading to the river, and is raised thirty-five feet or so from the ground by iron pillars, so as to give free access to River street.""[7]
","The rear of the building (left), on River Street","Alt-text: A street view of a historic urban area featuring brick and stone buildings with large windows. The foreground shows a cobblestone street lined with parked cars and traffic cones. Some storefronts are visible, including a blue awning and outdoor seating. The sky is clear with a few clouds.","Alt-text: A street view of the Savannah Cotton Exchange building, showcasing its unique architectural design elevated on iron pillars. The scene includes cobblestone streets lined with shops and restaurants, with parked cars and construction cones visible. The building features large windows and a distinctive entrance, with a backdrop of other buildings and a clear blue sky.","A street view featuring a mix of brick and stone buildings with large windows. The scene includes parked cars and outdoor seating areas, with traffic cones placed along the road.","Historic building on East Bay Street, showcasing a raised structure supported by iron pillars, with shops and restaurants lining the street below. The scene captures the unique architectural design that allows access to River Street."
Kellen_Winslow_circa_1986.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Kellen_Winslow_circa_1986.jpg/170px-Kellen_Winslow_circa_1986.jpg,Kellen_Winslow," Winslow improved in 1986, catching 64 passes for 728 yards and 5 touchdowns,[124] with 45 of his catches coming in the final nine games.[125] Offensive coordinator Ernie Zampese described his movement as more fluid and his play as more confident.[126] Winslow would later describe his own play as still being tentative and scared during the 1986 season.[127]
",Winslow c. 1986,"A football player wearing a dark blue jersey with yellow accents and the number 80 is running while holding a football. He has a yellow helmet and is in motion on the field, with a blurred background suggesting a game atmosphere.","Alt-text: ""A football player wearing a blue and yellow uniform with the number 80, running with a football in hand. The background suggests a game setting.""","A football player in a blue and yellow uniform runs with a football. The jersey features the number ""80"" and a lightning bolt logo.",A football player in a blue and yellow uniform runs with a football. The player is wearing a helmet and has the number 80 on his jersey.
John_Mayall_1970-1281_04_(Johnny_Almond).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/John_Mayall_1970-1281_04_%28Johnny_Almond%29.jpg/220px-John_Mayall_1970-1281_04_%28Johnny_Almond%29.jpg,Johnny_Almond," Johnny Almond (20 July 1946[1] – 18 November 2009)[2] was a British saxophonist, who is best known for his recordings with the Alan Price Set, Fleetwood Mac, John Mayall and Mark-Almond.
",Almond with John Mayall in 1970.,"A black and white photo of a musician playing the saxophone. He has long hair and is wearing a floral-patterned shirt with a vest. The background is slightly blurred, suggesting a live performance setting.","Alt-text: A black and white photograph of a man holding a saxophone, wearing a floral shirt and a vest. He has long hair and is smiling while standing in a performance setting.","A black and white photograph of a musician holding a saxophone, wearing a floral shirt and a vest. The musician appears to be performing on stage.","A black and white photograph of a man holding a saxophone, wearing a floral shirt and a vest, with long hair and a slight smile. The background is blurred, suggesting a performance setting."
Die_Slaven_in_Deutschland_1902_(117435075).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Die_Slaven_in_Deutschland_1902_%28117435075%29.jpg/220px-Die_Slaven_in_Deutschland_1902_%28117435075%29.jpg,Prussian_Lithuanians," The Prussian Lithuanians that settled in the monastic state of the Teutonic Knights over the centuries were influenced by German culture and the German language. They adopted the cultural values and social conventions of the German state, but preserved their Lithuanian language,[4] traditions and folk culture. For centuries Prussian Lithuanians lived in a political and religious environment that was different from that of other Lithuanians and evolved into a separate ethnic group. The common state united some aspects of, traditions and folk culture.[4] who viewed its rulers as their own rulers.[7] Hanging portraits of the rulers of the House of Hohenzollern in the home was widespread.
",A Prussian Lithuanian cemetery,"A black and white illustration depicting a woman standing in a graveyard surrounded by various gravestones. The scene is set in a wooded area with trees in the background and a few houses visible in the distance. The gravestones are of different shapes and sizes, some with inscriptions. The overall atmosphere is somber and reflective.","Alt-text: A historical illustration depicting a woman standing in a rural landscape surrounded by gravestones of various shapes and sizes. The scene reflects the cultural heritage of the Prussian Lithuanians, showcasing elements of their folk traditions and the influence of German culture. Trees and distant houses are visible in the background, contributing to the serene atmosphere of the setting.","A black and white illustration depicts a woman standing among various gravestones in a rural setting. The gravestones are of different shapes, including rectangular and triangular, with some inscribed with words. Trees and houses are visible in the background.","A black and white illustration depicting a woman standing among gravestones in a rural landscape, with trees and houses in the background. The gravestones feature various shapes and inscriptions, reflecting the burial customs of the Prussian Lithuanians."
09-FEB-2022_-_WS1_YYC-LGW_(B787-9_-_C-GKKN)_(01).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/09-FEB-2022_-_WS1_YYC-LGW_%28B787-9_-_C-GKKN%29_%2801%29.jpg/220px-09-FEB-2022_-_WS1_YYC-LGW_%28B787-9_-_C-GKKN%29_%2801%29.jpg,WestJet," Boeing 787-9 economy cabin looking forwards Economy Class varies depending on aircraft type.
 On WestJet's 787, economy seats have a pitch of 31"" and are offered in a 3-3-3 configuration. Complimentary hot meals, and alcoholic and non-alcoholic beverages are included when flying internationally.
",A Boeing 787-9 economy class cabin,"Alt-text: Interior view of an airplane cabin featuring rows of blue and black seats, with a central aisle illuminated by soft purple lighting. The cabin appears empty, showcasing the seating arrangement and overhead compartments.","Alt-text: Interior view of a Boeing 787-9 economy cabin, featuring rows of blue and black seats arranged in a 3-3-3 configuration. The aisle runs down the center, with ambient lighting creating a modern atmosphere.","Interior view of an airplane cabin featuring rows of blue and black seats. The aisle is clear, and the lighting has a purple hue.","Interior view of a Boeing 787-9 economy cabin, featuring rows of blue and black seats arranged in a 3-3-3 configuration. The cabin is illuminated with soft lighting, creating a modern atmosphere."
"Former_President_Donald_Trump_Holds_Campaign_Rally_In_Rochester,_New_Hampshire_(53481310361).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Former_President_Donald_Trump_Holds_Campaign_Rally_In_Rochester%2C_New_Hampshire_%2853481310361%29.jpg/220px-Former_President_Donald_Trump_Holds_Campaign_Rally_In_Rochester%2C_New_Hampshire_%2853481310361%29.jpg,2024_New_Hampshire_Republican_presidential_primary," In January 2023, Trump selected outgoing New Hampshire Republican Party chair Stephen Stepanek to oversee his campaign's operations in the state.[19]
","Trump holds campaign rally in Rochester, New Hampshire.","A man in a dark suit and red tie stands at a podium with the word ""TRUMP"" prominently displayed. He is speaking into a microphone, gesturing with his right hand. The background features flags and a banner with the text ""MAKE AMERICA GREAT AGAIN!"" and ""2024.""","Alt-text: Former President Donald Trump speaking at a campaign event in New Hampshire, with a podium displaying his name and campaign slogan, surrounded by flags in the background.","A man in a suit speaks at a podium with the word ""TRUMP"" prominently displayed. The backdrop features campaign graphics and flags. Text on the podium reads, ""TEXT NH TO 88022 MAKE AMERICA GREAT AGAIN! 2024.""","A man stands at a podium with the word ""TRUMP"" prominently displayed. The backdrop features campaign graphics and flags, indicating a political event."
