image_name,image_url,article_title,context,caption,no_crt_no_cnxt,no_crt_yes_cnxt,yes_crt_no_cnxt,yes_crt_yes_cnxt
Maxwell_Epstein_Clinton_1993_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Maxwell_Epstein_Clinton_1993_2.jpg/220px-Maxwell_Epstein_Clinton_1993_2.jpg,Bill_Clinton," In the early 2000s, Clinton took flights on Jeffrey Epstein's private jet in connection with Clinton Foundation work.[412][413] According to Epstein's attorney Gerald B. Lefcourt, Epstein was ""part of the original group that conceived of the Clinton Global Initiative"".[414] In 2002, a spokesperson for Clinton praised Epstein as ""a committed philanthropist"" with ""insights and generosity"".[415] While Clinton was president, Epstein visited the White House at least 17 times between 1993 and 1995.[416][417] Years later, Epstein was convicted on sex trafficking charges. Clinton's office released a statement in 2019 saying, ""President Clinton knows nothing about the terrible crimes Jeffrey Epstein pleaded guilty to in Florida some years ago, or those with which he has been recently charged in New York. In 2002 and 2003, President Clinton took four trips on Jeffrey Epstein's airplane: one to Europe, one to Asia, and two to Africa, which included stops in connection with the work of the Clinton Foundation. Staff, supporters of the Foundation, and his Secret Service detail traveled on every leg of every trip. [...] He's not spoken to Epstein in well over a decade.""[412][418][419]
","President Clinton with Epstein and Ghislaine Maxwell in the White House, September 1993","Three individuals are engaged in conversation in a formal setting. One person is wearing a red blazer, another is in a gray suit, and the third is in a light-colored suit with a pink tie. The background features green walls and a decorative mirror.","Alt-text: A historical photograph featuring Bill Clinton engaging in conversation with two individuals, one of whom is a man in a suit and the other a woman in a red jacket. The setting appears to be an indoor space with green walls and decorative elements.","A group of three people engaged in conversation in a formal setting. One person is wearing a red blazer, another is in a suit, and the third is in a light-colored suit with a tie.",A photograph showing Bill Clinton speaking with Jeffrey Epstein and a woman in a formal setting. The background features green walls and decorative elements typical of a government building.
Laurel_Mountain_Ski_Area_Sign.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Laurel_Mountain_Ski_Area_Sign.jpg/220px-Laurel_Mountain_Ski_Area_Sign.jpg,Laurel_Mountain_Ski_Resort," 
History[edit]
Laurel Mountain’s distinct character is the result of a rich history. The slopes were originally designed by European skiing legend Johann ""Hannes"" Schneider, the renowned Austrian ski guide and inventor of the Arlberg Method, the basis of modern alpine ski technique. The resort opened in 1940, just before the U.S. entered World War II, and some of the original structures, including the storied Midway Cabin, still stand on the property. Once an exclusive club for the most prestigious residents of Pennsylvania, Laurel Mountain was gifted to the commonwealth in 1964 and is now a winter playground for everyone.
The resort closed for more than a decade, starting in 2005.[1][2] Laurel Mountain reopened for the 2016-2017 season after an extensive multi-year renovation project to upgrade the facility through a partnership between the Pennsylvania DCNR and Seven Springs Mountain Resort. A modern SkyTrac fixed-grip quad chairlift was installed in the summer of 2016, capable of transporting 2,400 skiers per hour. The snowmaking system was overhauled with the addition of 52 new guns and the water storage capacity nearly doubled to 26 million gallons. Several improvements were also made to the slopes including regrading and widening select areas to improve traffic flow.

Facilities[edit]
The Midway Cabin.  The original lodge at Laurel Mountain built in 1940 is located approximately halfway down the Broadway slope.  Starting in 1954 the Pittsburgh Ski Club used the cabin as their mountain headquarters.  The lodge had a dormitory that was available to members for an affordable $1.65/night.  The PSC used the lodge until approximately 1954 when the region's focus on skiing shifted towards Seven Springs and Hidden Valley.  The cabin is still standing today.
Modern Lodge.  A more modern two-story lodge of approximately 14,500 square feet was built in 1999.  The lodge offers services including retail, rental and tickets.  There is historic Pennsylvania ski memorabilia throughout.  The lodge has two restaurants, the Wildcat Lounge and the Laurel House cafe.

The lodge at Laurel Mountain State Park ski area, PA.
The hearth inside Laurel Mountain State Park's lodge.
Lower Wildcat[edit]
Lower Wildcat is the resort's double diamond slope.  It is the steepest ski slope in Southwestern Pennsylvania reaching a 72% grade and is considered by many to be comparable to runs found at New England resorts.

Trail sign at Laurel Mountain State Park Ski Area, PA
Ski lifts[edit]
Laurel Mountain has a modern SkyTrac fixed-grip quad chairlift, constructed in 2016, and one surface lift.

Climate[edit]
According to the Köppen Climate Classification system, Laurel Mountain has a warm-summer humid continental climate, abbreviated ""Dfb"" on climate maps. The hottest temperature recorded at Laurel Summit was 90 °F (32.2 °C) on July 7, 2020, while the coldest temperature recorded was −18 °F (−27.8 °C) on January 7–8, 2014.[3]




Climate data for Laurel Summit, Pennsylvania, 1991–2020 normals, extremes 1999–present


Month

Jan

Feb

Mar

Apr

May

Jun

Jul

Aug

Sep

Oct

Nov

Dec

Year


Record high °F (°C)

63(17)

73(23)

75(24)

83(28)

85(29)

87(31)

90(32)

87(31)

89(32)

83(28)

75(24)

68(20)

90(32)


Mean maximum °F (°C)

55.3(12.9)

53.9(12.2)

65.4(18.6)

76.3(24.6)

81.9(27.7)

82.1(27.8)

83.6(28.7)

81.7(27.6)

81.6(27.6)

74.7(23.7)

67.0(19.4)

57.7(14.3)

85.2(29.6)


Mean daily maximum °F (°C)

30.9(−0.6)

33.9(1.1)

42.7(5.9)

56.1(13.4)

64.5(18.1)

71.2(21.8)

74.5(23.6)

73.8(23.2)

68.0(20.0)

57.7(14.3)

45.7(7.6)

35.2(1.8)

54.5(12.5)


Daily mean °F (°C)

22.6(−5.2)

24.8(−4.0)

32.7(0.4)

45.1(7.3)

54.7(12.6)

62.3(16.8)

66.4(19.1)

65.3(18.5)

59.4(15.2)

48.4(9.1)

37.4(3.0)

27.7(−2.4)

45.6(7.5)


Mean daily minimum °F (°C)

14.4(−9.8)

15.7(−9.1)

22.7(−5.2)

34.1(1.2)

44.9(7.2)

53.4(11.9)

58.2(14.6)

56.8(13.8)

50.7(10.4)

39.2(4.0)

29.2(−1.6)

20.1(−6.6)

36.6(2.6)


Mean minimum °F (°C)

−4.5(−20.3)

−3.2(−19.6)

5.7(−14.6)

19.8(−6.8)

30.4(−0.9)

41.9(5.5)

49.0(9.4)

48.7(9.3)

40.7(4.8)

27.5(−2.5)

15.6(−9.1)

5.9(−14.5)

−7.0(−21.7)


Record low °F (°C)

−18(−28)

−15(−26)

−8(−22)

10(−12)

19(−7)

35(2)

39(4)

44(7)

34(1)

23(−5)

3(−16)

−12(−24)

−18(−28)


Average precipitation inches (mm)

4.41(112)

3.50(89)

4.72(120)

4.87(124)

5.47(139)

5.94(151)

5.14(131)

4.78(121)

4.81(122)

4.23(107)

4.31(109)

4.43(113)

56.61(1,438)


Average snowfall inches (cm)

38.6(98)

37.5(95)

21.5(55)

6.9(18)

0.3(0.76)

0.0(0.0)

0.0(0.0)

0.0(0.0)

0.0(0.0)

2.4(6.1)

8.1(21)

26.9(68)

142.2(361.86)


Average extreme snow depth inches (cm)

14.3(36)

15.0(38)

12.0(30)

4.0(10)

0.2(0.51)

0.0(0.0)

0.0(0.0)

0.0(0.0)

0.0(0.0)

2.1(5.3)

3.4(8.6)

7.3(19)

19.1(49)


Average precipitation days (≥ 0.01 in)

19.0

14.9

14.7

14.5

15.0

13.8

12.8

12.0

10.8

12.8

12.9

16.4

169.6


Average snowy days (≥ 0.1 in)

16.0

13.0

9.2

3.6

0.4

0.0

0.0

0.0

0.0

1.1

5.1

11.4

59.8


Source 1: NOAA[4]


Source 2: National Weather Service (mean maxima/minima, snow depth 2006–2020)[3]


Trees covered in snow at Laurel Mountain state park ski area.
Sources[edit]
Laurel Mountain Official Website
References[edit]


^ ""Laurel Mountain Ski Area won't open"". Pittsburgh Post-Gazette.

^ ""LAUREL MOUNTAIN TO REMAIN CLOSED THIS WINTER"". www.saminfo.com.

^ a b 
""NOAA Online Weather Data – NWS Pittsburgh"". National Weather Service. Retrieved July 7, 2023.

^ 
""U.S. Climate Normals Quick Access – Station: Laurel Summit, PA"". National Oceanic and Atmospheric Administration. Retrieved July 7, 2023.


External links[edit]
Laurel Mountain Ski Patrol
Resort Profile: Laurel Mountain



",Laurel Mountain ski area sign after fresh snow,"A wooden sign for Laurel Mountain State Park Ski Area, surrounded by a snowy landscape. The sign is prominently displayed, with trees in the background covered in snow, indicating a winter setting.","**Alt-text:** A wooden sign reading ""Laurel Mountain State Park Ski Area"" is partially covered in snow, surrounded by trees in a winter landscape. The sign indicates the department responsible for the area, emphasizing its natural beauty and winter sports offerings.","A wooden sign reads ""LAUREL MOUNTAIN STATE PARK SKI AREA"" surrounded by snow-covered trees. The sign indicates the location is managed by the Department of Conservation and Natural Resources.","Sign at Laurel Mountain State Park Ski Area, displaying ""LAUREL MOUNTAIN STATE PARK SKI AREA"" and ""DEPT. OF CONSERVATION AND NATURAL RESOURCES."" The area is covered in snow, surrounded by trees."
Laurel_Mountain_Ski_Lodge.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Laurel_Mountain_Ski_Lodge.jpg/220px-Laurel_Mountain_Ski_Lodge.jpg,Laurel_Mountain_Ski_Resort," The hearth inside Laurel Mountain State Park's lodge. Lower Wildcat[edit] Lower Wildcat is the resort's double diamond slope.  It is the steepest ski slope in Southwestern Pennsylvania reaching a 72% grade and is considered by many to be comparable to runs found at New England resorts.
","The lodge at Laurel Mountain State Park ski area, PA.","A snowy scene depicting a rustic lodge with a stone entrance. The pathway leading to the lodge is lined with handrails, and snow covers the ground. The lodge features a large stone fireplace at the center and has a sloped roof. Trees are visible in the background, partially obscured by falling snowflakes.","Alt-text: ""The entrance to the lodge at Laurel Mountain State Park, featuring a stone fireplace and snow-covered pathways, surrounded by a winter landscape.""","A snowy scene shows a rustic building with a stone entrance and a central fireplace. Snow covers the ground and the surrounding area, creating a winter atmosphere.","A snowy scene of the lodge at Laurel Mountain State Park, featuring a stone hearth at the center and pathways leading to the entrance."
Laurel_Lodge.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Laurel_Lodge.jpg/220px-Laurel_Lodge.jpg,Laurel_Mountain_Ski_Resort," Lower Wildcat[edit] Lower Wildcat is the resort's double diamond slope.  It is the steepest ski slope in Southwestern Pennsylvania reaching a 72% grade and is considered by many to be comparable to runs found at New England resorts.
",The hearth inside Laurel Mountain State Park's lodge.,"Alt-text: A cozy living room featuring a stone fireplace with a wooden mantel. Above the fireplace hangs a framed picture of mountains, adorned with a green garland. To the right, a decorated Christmas tree stands, adding a festive touch to the warm atmosphere. Logs are stacked beside the fireplace, and large windows allow natural light to fill the space.","Alt-text: A cozy stone fireplace with a wooden mantel, decorated with greenery and a framed picture above it. To the right, a Christmas tree adorned with ornaments stands, creating a warm and inviting atmosphere in a ski resort lodge.","A cozy living room features a stone fireplace with a wooden mantel, decorated with greenery and a framed picture. A Christmas tree stands nearby, adorned with ornaments and lights.","A stone fireplace with a wooden mantel, decorated with greenery and a framed picture above it. A Christmas tree is visible to the right, adding to the cozy atmosphere."
2023_11_Laurel_Mt_Ski_Sign.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/2023_11_Laurel_Mt_Ski_Sign.jpg/220px-2023_11_Laurel_Mt_Ski_Sign.jpg,Laurel_Mountain_Ski_Resort," Ski lifts[edit] Laurel Mountain has a modern SkyTrac fixed-grip quad chairlift, constructed in 2016, and one surface lift.
 Climate[edit] According to the Köppen Climate Classification system, Laurel Mountain has a warm-summer humid continental climate, abbreviated ""Dfb"" on climate maps. The hottest temperature recorded at Laurel Summit was 90 °F (32.2 °C) on July 7, 2020, while the coldest temperature recorded was −18 °F (−27.8 °C) on January 7–8, 2014.[3]
","Trail sign at Laurel Mountain State Park Ski Area, PA","A wooden signpost with multiple directional arrows, each marked with different colored symbols, set against a cloudy sky. Trees are visible in the background, and the sun is partially obscured by clouds.","Alt-text: A wooden signpost with multiple directional signs, indicating various ski trails and lifts at Laurel Mountain Ski Resort. The background features a cloudy sky and trees, suggesting a winter setting.","A wooden signpost with multiple directional arrows, each marked with different colored symbols indicating various paths or trails. The background features a cloudy sky and trees.","A wooden signpost with multiple directional arrows, indicating various ski trails and lifts at Laurel Mountain Ski Resort, set against a cloudy sky."
"Oliver_Mark_-_Christian_Friedel,_Berlin_2015_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Oliver_Mark_-_Christian_Friedel%2C_Berlin_2015_%28cropped%29.jpg/170px-Oliver_Mark_-_Christian_Friedel%2C_Berlin_2015_%28cropped%29.jpg,Christian_Friedel," Friedel has appeared in films and television series since 2009 including Michael Haneke's The White Ribbon, and Oliver Hirschbiegel's 13 Minutes, where he portrayed Georg Elser. More recently, he played police photographer Gräf in the esteemed drama series Babylon Berlin, and was a main character in the German mini-series Perfume. He also portrayed Rudolf Höss in Jonathan Glazer’s The Zone of Interest after previously turning down offers to play Nazi roles.[2][3]
","Christian Friedel photographed by Oliver Mark, Berlin 2015","A black and white portrait of a man with short, dark hair, wearing a black shirt. He is looking directly at the camera with a serious expression, holding the collar of his shirt with one hand. The background is plain and light-colored, emphasizing his face and expression.","Alt-text: A black and white portrait of a man with short hair, wearing a dark shirt. He has a serious expression and is adjusting his shirt collar with one hand. The background is plain and light-colored.","A black and white portrait of a man with short hair, wearing a dark shirt, looking directly at the camera with a serious expression. He is adjusting his shirt collar with one hand.","A black and white portrait of a man with short hair, wearing a dark shirt, looking directly at the camera with a serious expression."
Aerial_view_of_silver_lake_plant._(83f00ce8cd32417fa7ff404537d99c0e).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Aerial_view_of_silver_lake_plant._%2883f00ce8cd32417fa7ff404537d99c0e%29.jpg/220px-Aerial_view_of_silver_lake_plant._%2883f00ce8cd32417fa7ff404537d99c0e%29.jpg,"Silver_Lake,_Essex_County,_New_Jersey"," Silver Lake is an unincorporated community and census-designated place (CDP) in Essex County, in the U.S. state of New Jersey, that is split between Belleville (with 3,769 of the CDP's residents) and Bloomfield (474 of the total).[7][8] As of the 2010 United States Census, the CDP's total population was 4,243.[3]
","Aerial view of the Edison Company Silver Lake plant, 1928","Aerial view of a cityscape featuring a large sports field in the center, surrounded by various buildings and residential areas. The image shows a mix of urban structures, including houses and industrial buildings, with roads and open spaces visible. The photograph has a vintage appearance, suggesting it was taken in the early to mid-20th century.","Alt-text: Aerial view of Silver Lake, an unincorporated community in Essex County, New Jersey, showcasing a mix of residential buildings and open spaces, including a large field and industrial structures in the background. The image captures the layout and development of the area during the early 20th century.","Aerial photograph showing a cityscape with residential buildings and a large open field. In the background, industrial structures are visible, indicating urban development.","Aerial photograph showing a residential area with a large field and industrial structures in the background. The image captures the layout of Silver Lake, New Jersey, highlighting its community and surroundings."
Caleb_Daniels_Jaime_Jaquez_Jr_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Caleb_Daniels_Jaime_Jaquez_Jr_%28cropped%29.jpg/220px-Caleb_Daniels_Jaime_Jaquez_Jr_%28cropped%29.jpg,Jaime_Jaquez_Jr.," In 2021–22, Jaquez was restricted by ankle injuries throughout most of the season.[22][23] He suffered from synovitis in one ankle and began wearing braces on both ankles as a preventative measure.[24] He bounced back from a three-game stretch in mid-February 2022 in which he scored a combined 13 points.[23] On February 28, Jaquez scored a career-high 30 points in a 77–66 win over Washington.[22] In the following game, he scored 27 points in the regular-season finale against USC, helping UCLA end its five-game losing streak in their crosstown rivalry with the Trojans.[25] He was named the Pac-12 Player of the Week after averaging 28.5 points on 64 percent shooting along with 7.5 rebounds, as the Bruins clinched the No. 2 seed in the Pac-12 tournament.[26] Jaquez was named to the All-Pac-12 first team and was voted again to the conference's defensive team.[27] He was one of five finalists for the Julius Erving Award, given to the top small forward in the country.[28] In the second round of the 2022 NCAA tournament, he scored 15 points in a 72–56 win over Saint Mary's, but exited the game and did not return after spraining his right ankle with seven minutes remaining in the second half.[24][29] He was averaging 20.5 points in his last eight games, with the Bruins going 7–1.[30] The stretch coincided with his being able to resume practicing,[30] while UCLA's leading scorer, Johnny Juzang, was in a scoring slump.[24] Jaquez recovered to play 38 minutes in the following game against North Carolina in the Sweet Sixteen, but the Bruins lost 73–66. He scored 10 points, shooting 1-for-11 in the second half and missing his final nine shots.[31][32] Amid the injuries, Jaquez's 3-point shooting dropped to 27.6 percent. Along with needing surgery in April to remove bone spurs from his right ankle, he decided against declaring for the NBA draft,[13] and returned to UCLA for his senior year.[33]
",Jaquez defending Caleb Daniels of Villanova in 2021,"Alt-text: Two basketball players are engaged in a competitive play on the court. One player, wearing a blue jersey with the number 14, is dribbling the ball while being closely guarded by another player in a white jersey with the number 21. A third player in a blue jersey with the number 43 is positioned nearby, watching the action. The crowd in the background is dressed in white, creating a lively atmosphere.","Alt-text: Two basketball players are engaged in a play on the court. One player, wearing a blue jersey with the number 14, is dribbling a basketball while being closely guarded by another player in a white jersey with the number 24. A third player in a blue jersey with the number 43 is positioned nearby. The background features a crowd in white attire, creating a lively game atmosphere.","A basketball player in a dark uniform dribbles the ball while being closely guarded by an opponent in a light uniform. Two players are engaged in a competitive play on the court, with fans in the background wearing white shirts.","Two basketball players are engaged in a play on the court. One player, wearing a blue jersey with the number 14, is dribbling the ball while being closely guarded by another player in a white jersey with the number 24. The background shows a crowd in white attire, indicating a home game atmosphere."
Shiant_Island.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Shiant_Island.png/220px-Shiant_Island.png,Shiant_Islands," History[edit] Sea cave of Toll a' Roimh on Garbh Eilean In 1549, Donald Monro, Dean of the Isles wrote in Scots of:
",Map of the Shiant Isles,"A detailed map of the Shiant Islands, located in the Minch, Scotland. The map shows the various islands, including Garbh Eilean, Eilean an Tighe, and Eilean Mhuire, with topographical features highlighted. The surrounding water is labeled, and the map includes a scale for distance. The overall design is colorful and informative, providing geographical context.","Alt-text: A detailed map of the Shiant Islands, showing the geographical layout of the islands, including Garbh Eilean and Eilean an Tighe, with labels and topographical features. The map is oriented with north at the top and includes surrounding water bodies.","A detailed map of the Shiant Islands, showing the layout of the islands, including Garbh Eilean and Eilean an Tighe. The map features topographical details and labels for each island.","Map of the Shiant Islands, showing the geographical layout and features of the islands, including Garbh Eilean and Eilean an Tighe. The title reads ""THE SHIANT ISLANDS."""
"Archduchess_Yolande_of_Austria_coffin._Imperial_Crypt,_Vienna.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Archduchess_Yolande_of_Austria_coffin._Imperial_Crypt%2C_Vienna.jpg/220px-Archduchess_Yolande_of_Austria_coffin._Imperial_Crypt%2C_Vienna.jpg,Archduchess_Yolande_of_Austria," Yolande turned 100 on 6 May 2023. She died in Brussels on 13 September 2023 and was buried in the Imperial Crypt in Vienna.[7]
","Archduchess Yolande's coffin at Imperial Crypt, Vienna","Alt-text: A polished wooden coffin with a gold cross on top, placed in a solemn setting. In front of the coffin, there are red roses and a plaque. In the background, another similar coffin is visible, along with a floral arrangement decorated with red, white, and blue ribbons.","Alt-text: A copper-colored coffin with a cross on top, placed on a wooden base. A small plaque in front of the coffin reads ""Yolande of Austria."" Red roses are laid at the base, and a floral arrangement with red, white, and blue ribbons is visible in the background.","A polished wooden coffin is displayed in a solemn setting, adorned with a cross on top. A small plaque at the base reads ""TOMÁS A. PÉREZ,"" and a bouquet of flowers is placed nearby.","A copper coffin with a cross on top, placed on a wooden base, surrounded by flowers and a decorative ribbon. A plaque at the front reads ""Yolande of Austria."""
